1;uszczelnienie;die;Abdichtung;Abdichtungen;0;
2;wieczór;der;Abend;Abende;0;
3;kolacja;das;Abendessen;brak;0;
5;żądza przygód;die;Abenteuerlust;;0;
7;odjazd;die;Abfahrt;Abfahrten;0;
10;wyciek;der;Abfluss;;0;
11;matura;das;Abitur;brak;0;
12;skrót;die;Abkürzung;Abkürzungen;0;
13;umówienie się;die;Abmachung;Abmachungen;0;
14;abonament;das;Abonnement;;0;
15;abonent;der;Abonnent;;0;
16;pożegnanie;der;Abschied;Abschiede;0;
17;uroczystość pożegnalna;die;Abschiedsfeier;;0;
18;zamknięcie/egzamin końcowy;der;Abschluss;Abschlüsse;0;
19;rozdział/akapit;der;Abschnitt;;0;
20;nadawca;der;Absender;Absender;0;
21;zamiar;die;Absicht;Absichten;0;
22;dział;die;Abteilung;;0;
23;kierownik działu;der;Abteilungsleiter;;0;
24;uwaga/szacunek;die;Achtung;brak;0;
25;adres;die;Adresse;Adressen;0;
26;agencja;die;Agentur;Agenturen;0;
27;podejrzenie;die;Ahnung;Ahnungen;0;
28;akumulator;der;Akku;Akkus;0;
29;dokumenty;die;Akte;;0;
30;aktywność;die;Aktivität;Aktivitäten;0;
31;alkohol;der;Alkohol;Alkohole;0;
32;alergik;der;Allergiker;;0;
33;dzień powszedni;der;Alltag;Alltage;0;
34;koszmar;der;Alptraum;Alpträume;0;
35;starzec;der;Alte;;0;
36;wiek;der;Alter;brak;0;
37;stare miasto;die;Altstadt;Altstädte;0;
38;sygnalizacja świetlna;die;Ampel;Ampeln;0;
39;urząd;die;Amt;Ämter;0;
40;spojrzenie/widok;der;Anblick;;0;
41;akceptacja/uznanie;die;Anerkennung;;0;
42;dojazd;die;Anfahrt;Anfahrten;0;
43;początek;der;Anfang;Anfänge;0;
44;początkujący;der;Anfänger;Anfänger;0;
45;początkująca;die;Anfängerin;Anfängerinnen;0;
46;oferta;das;Angebot;Angebote;0;
47;członek;die;Angehörige;Angehörigen;0;
48;pracownik umysłowy;der;Angestellte;Angestellten;0;
49;strach;die;Angst;Ängste;0;
50;załącznik;der;Anhang;Anhänge;0;
51;zapowiedź/oznaki;die;Ankündigung;;0;
52;przyjazd;die;Ankunft;Änkunfte;0;
53;nauka;die;Anleitung;Anleitungen;0;
54;zgłoszenie;die;Anmeldung;Anmeldungen;0;
55;układ;die;Anordnung;Anordnungen;0;
56;forma zwracania się;die;Anrede;Anreden;0;
57;rozmowa telefoniczna;der;Anruf;Anrufe;0;
